[TensorBoard] Logging enabled: parallel_experiments/Reacher-v2_20250724_145146/seed_1/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Reacher-v2_20250724_145146/seed_1/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.2,
    'env_name': 'Reacher-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 3,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/Reacher-v2_20250724_145146/seed_1',
    'save_periodic': False,
    'seed': 1,
    'state_dim': 11,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Reacher-v2  State_dim: 11  Action_dim: 2
#Games: 31 #Frames: 1550  Train_Max: -9.25  Test_Score: -9.32  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.54  PG Loss: 0.5053

#Games: 62 #Frames: 3100  Train_Max: -9.25  Test_Score: -10.24  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.35  PG Loss: 0.7051

#Games: 93 #Frames: 4650  Train_Max: -9.81  Test_Score: -13.01  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.74  PG Loss: 0.8724

#Games: 124 #Frames: 6200  Train_Max: -9.10  Test_Score: -15.30  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.78  PG Loss: 1.0541

#Games: 155 #Frames: 7750  Train_Max: -10.76  Test_Score: -11.10  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.91  PG Loss: 1.2564

#Games: 186 #Frames: 9300  Train_Max: -9.31  Test_Score: -10.72  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.54  PG Loss: 1.4360

#Games: 217 #Frames: 10850  Train_Max: -9.23  Test_Score: -10.60  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.89  PG Loss: 1.6133

Progress Saved
#Games: 248 #Frames: 12400  Train_Max: -7.07  Test_Score: -15.08  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.68  PG Loss: 1.7508

#Games: 279 #Frames: 13950  Train_Max: -9.08  Test_Score: -11.62  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.74  PG Loss: 1.9039

Sync from RL --> Nevo
#Games: 310 #Frames: 15500  Train_Max: -8.83  Test_Score: -11.66  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.92  PG Loss: 2.0736

#Games: 341 #Frames: 17050  Train_Max: -7.99  Test_Score: -10.67  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -10.43  PG Loss: 2.1902

#Games: 372 #Frames: 18600  Train_Max: -7.53  Test_Score: -8.48  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -10.61  PG Loss: 2.2804

