[TensorBoard] Logging enabled: parallel_experiments/Reacher-v2_20250724_145146/seed_7/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Reacher-v2_20250724_145146/seed_7/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
#Games: 868 #Frames: 43400  Train_Max: -5.79  Test_Score: -5.89  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.56  PG Loss: 2.3512

#Games: 899 #Frames: 44950  Train_Max: -5.69  Test_Score: -11.35  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.31  PG Loss: 2.3610

Sync from RL --> Nevo
#Games: 930 #Frames: 46500  Train_Max: -9.60  Test_Score: -7.48  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.91  PG Loss: 2.3718

#Games: 961 #Frames: 48050  Train_Max: -7.01  Test_Score: -7.67  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.80  PG Loss: 2.3995

#Games: 992 #Frames: 49600  Train_Max: -7.52  Test_Score: -7.26  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.71  PG Loss: 2.4227

#Games: 1023 #Frames: 51150  Train_Max: -7.79  Test_Score: -10.16  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.90  PG Loss: 2.4268

Progress Saved
#Games: 1054 #Frames: 52700  Train_Max: -6.24  Test_Score: -8.85  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.61  PG Loss: 2.4214

#Games: 1085 #Frames: 54250  Train_Max: -7.36  Test_Score: -6.85  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.24  PG Loss: 2.4203

#Games: 1116 #Frames: 55800  Train_Max: -5.90  Test_Score: -7.04  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.09  PG Loss: 2.4334

#Games: 1147 #Frames: 57350  Train_Max: -7.31  Test_Score: -7.24  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.05  PG Loss: 2.4406

#Games: 1178 #Frames: 58900  Train_Max: -6.58  Test_Score: -6.86  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.22  PG Loss: 2.4600

#Games: 1209 #Frames: 60450  Train_Max: -6.41  Test_Score: -6.06  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.53  PG Loss: 2.4505

Progress Saved
Sync from RL --> Nevo
#Games: 1240 #Frames: 62000  Train_Max: -7.72  Test_Score: -8.18  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.83  PG Loss: 2.4507

#Games: 1271 #Frames: 63550  Train_Max: -5.44  Test_Score: -8.64  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.80  PG Loss: 2.4486

#Games: 1302 #Frames: 65100  Train_Max: -4.98  Test_Score: -5.44  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.24  PG Loss: 2.4429

#Games: 1333 #Frames: 66650  Train_Max: -4.97  Test_Score: -8.84  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.57  PG Loss: 2.4371

#Games: 1364 #Frames: 68200  Train_Max: -5.22  Test_Score: -7.88  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.26  PG Loss: 2.4277

#Games: 1395 #Frames: 69750  Train_Max: -6.29  Test_Score: -8.34  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.60  PG Loss: 2.4170

#Games: 1426 #Frames: 71300  Train_Max: -6.27  Test_Score: -5.73  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.98  PG Loss: 2.4095

Progress Saved
#Games: 1457 #Frames: 72850  Train_Max: -5.77  Test_Score: -7.00  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.08  PG Loss: 2.3925

#Games: 1488 #Frames: 74400  Train_Max: -5.98  Test_Score: -7.14  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.17  PG Loss: 2.3844

#Games: 1519 #Frames: 75950  Train_Max: -5.68  Test_Score: -7.06  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.90  PG Loss: 2.3835

Sync from RL --> Nevo
#Games: 1550 #Frames: 77500  Train_Max: -5.99  Test_Score: -11.06  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.21  PG Loss: 2.3690

#Games: 1581 #Frames: 79050  Train_Max: -6.24  Test_Score: -9.00  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.09  PG Loss: 2.3659

#Games: 1612 #Frames: 80600  Train_Max: -4.74  Test_Score: -7.44  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.39  PG Loss: 2.3544

Progress Saved
#Games: 1643 #Frames: 82150  Train_Max: -6.16  Test_Score: -7.67  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.23  PG Loss: 2.3584

#Games: 1674 #Frames: 83700  Train_Max: -5.41  Test_Score: -6.51  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.38  PG Loss: 2.3510

