[TensorBoard] Logging enabled: parallel_experiments/Reacher-v2_20250724_145146/seed_10/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Reacher-v2_20250724_145146/seed_10/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.2,
    'env_name': 'Reacher-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 3,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/Reacher-v2_20250724_145146/seed_10',
    'save_periodic': False,
    'seed': 10,
    'state_dim': 11,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Reacher-v2  State_dim: 11  Action_dim: 2
#Games: 31 #Frames: 1550  Train_Max: -5.29  Test_Score: -8.53  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -10.48  PG Loss: 0.5320

#Games: 62 #Frames: 3100  Train_Max: -9.08  Test_Score: -13.22  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.57  PG Loss: 0.7854

#Games: 93 #Frames: 4650  Train_Max: -11.48  Test_Score: -16.58  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.35  PG Loss: 1.0867

#Games: 124 #Frames: 6200  Train_Max: -5.72  Test_Score: -13.27  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.27  PG Loss: 1.3419

#Games: 155 #Frames: 7750  Train_Max: -7.44  Test_Score: -11.57  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -12.02  PG Loss: 1.5821

#Games: 186 #Frames: 9300  Train_Max: -8.94  Test_Score: -11.27  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.08  PG Loss: 1.7478

#Games: 217 #Frames: 10850  Train_Max: -8.84  Test_Score: -11.65  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -10.41  PG Loss: 1.8532

Progress Saved
#Games: 248 #Frames: 12400  Train_Max: -9.13  Test_Score: -11.36  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.37  PG Loss: 1.9286

#Games: 279 #Frames: 13950  Train_Max: -8.46  Test_Score: -11.52  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.00  PG Loss: 2.0051

Sync from RL --> Nevo
#Games: 310 #Frames: 15500  Train_Max: -8.40  Test_Score: -12.08  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.07  PG Loss: 2.0840

#Games: 341 #Frames: 17050  Train_Max: -6.39  Test_Score: -13.37  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -8.22  PG Loss: 2.1303

#Games: 372 #Frames: 18600  Train_Max: -8.92  Test_Score: -8.67  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -9.63  PG Loss: 2.1986

