bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_100/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_100/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': True,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'HalfCheetah-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 6000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': True,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_100',
    'save_periodic': False,
    'seed': 100,
    'state_dim': 17,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 6000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running HalfCheetah-v2  State_dim: 17  Action_dim: 6
#Games: 11 #Frames: 11000  Train_Max: 830.87  Test_Score: 828.92  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -359.25  PG Loss: -4.9142

#Games: 22 #Frames: 22000  Train_Max: 837.42  Test_Score: 823.25  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2055.10  PG Loss: -14.8394

#Games: 33 #Frames: 33000  Train_Max: 839.92  Test_Score: 835.18  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2153.90  PG Loss: -27.7961

#Games: 44 #Frames: 44000  Train_Max: 829.14  Test_Score: 826.37  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2584.94  PG Loss: -43.2472

#Games: 55 #Frames: 55000  Train_Max: 1688.03  Test_Score: 1673.75  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2587.25  PG Loss: -59.5116

#Games: 66 #Frames: 66000  Train_Max: 1696.34  Test_Score: 1656.94  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2364.41  PG Loss: -78.0321

#Games: 77 #Frames: 77000  Train_Max: 1700.31  Test_Score: 1699.25  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2904.25  PG Loss: -97.1422

#Games: 88 #Frames: 88000  Train_Max: 1730.97  Test_Score: 1685.56  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2967.57  PG Loss: -114.9965

#Games: 99 #Frames: 99000  Train_Max: 1701.74  Test_Score: 1680.48  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3315.32  PG Loss: -131.3279

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 1879.61  Test_Score: 1440.20  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3794.77  PG Loss: -148.7453

#Games: 121 #Frames: 121000  Train_Max: 3810.87  Test_Score: 3840.94  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3213.61  PG Loss: -165.4663

