bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_1/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_1/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': True,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'HalfCheetah-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 6000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': True,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_1',
    'save_periodic': False,
    'seed': 1,
    'state_dim': 17,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 6000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running HalfCheetah-v2  State_dim: 17  Action_dim: 6
#Games: 11 #Frames: 11000  Train_Max: 207.39  Test_Score: 224.12  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -165.78  PG Loss: -2.8239

#Games: 22 #Frames: 22000  Train_Max: 267.81  Test_Score: 243.28  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -40.74  PG Loss: -11.9388

#Games: 33 #Frames: 33000  Train_Max: 617.45  Test_Score: 623.77  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 657.22  PG Loss: -24.5051

#Games: 44 #Frames: 44000  Train_Max: 659.42  Test_Score: 610.28  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 716.39  PG Loss: -35.4050

#Games: 55 #Frames: 55000  Train_Max: 1134.26  Test_Score: 616.52  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2056.41  PG Loss: -45.5260

#Games: 66 #Frames: 66000  Train_Max: 1000.66  Test_Score: 917.28  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2552.06  PG Loss: -57.6950

#Games: 77 #Frames: 77000  Train_Max: 1191.33  Test_Score: 1163.80  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2722.57  PG Loss: -70.6398

#Games: 88 #Frames: 88000  Train_Max: 1228.52  Test_Score: 1122.22  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3003.08  PG Loss: -84.8348

#Games: 99 #Frames: 99000  Train_Max: 1152.70  Test_Score: 1149.32  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2708.76  PG Loss: -101.1693

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 1113.15  Test_Score: 1154.21  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3200.37  PG Loss: -118.4248

#Games: 121 #Frames: 121000  Train_Max: 3209.39  Test_Score: 3211.93  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2880.73  PG Loss: -134.9322

