bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_7/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_7/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': True,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'HalfCheetah-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 6000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': True,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_7',
    'save_periodic': False,
    'seed': 7,
    'state_dim': 17,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 6000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running HalfCheetah-v2  State_dim: 17  Action_dim: 6
#Games: 11 #Frames: 11000  Train_Max: 207.86  Test_Score: 231.23  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -240.49  PG Loss: -4.0786

#Games: 22 #Frames: 22000  Train_Max: 523.07  Test_Score: 401.45  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1222.38  PG Loss: -12.2043

#Games: 33 #Frames: 33000  Train_Max: 1604.76  Test_Score: 1298.45  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2460.29  PG Loss: -24.3997

#Games: 44 #Frames: 44000  Train_Max: 609.35  Test_Score: 622.16  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2783.85  PG Loss: -40.8736

#Games: 55 #Frames: 55000  Train_Max: 1510.50  Test_Score: 1448.56  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3108.62  PG Loss: -58.6797

#Games: 66 #Frames: 66000  Train_Max: 1529.94  Test_Score: 1496.66  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2976.03  PG Loss: -80.2837

#Games: 77 #Frames: 77000  Train_Max: 1528.41  Test_Score: 1506.49  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2994.49  PG Loss: -103.8588

#Games: 88 #Frames: 88000  Train_Max: 1566.00  Test_Score: 1505.39  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3356.36  PG Loss: -127.1185

#Games: 99 #Frames: 99000  Train_Max: 1628.72  Test_Score: 1132.33  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3367.87  PG Loss: -147.3874

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 1572.36  Test_Score: 1180.48  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3490.12  PG Loss: -165.2032

#Games: 121 #Frames: 121000  Train_Max: 3683.61  Test_Score: 3670.42  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3799.22  PG Loss: -181.7833

