bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_10/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_10/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': True,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'HalfCheetah-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 6000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': True,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_10',
    'save_periodic': False,
    'seed': 10,
    'state_dim': 17,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 6000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running HalfCheetah-v2  State_dim: 17  Action_dim: 6
#Games: 11 #Frames: 11000  Train_Max: 67.03  Test_Score: 54.41  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -363.78  PG Loss: -2.9289

#Games: 22 #Frames: 22000  Train_Max: 209.48  Test_Score: 196.55  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -317.04  PG Loss: -7.5218

#Games: 33 #Frames: 33000  Train_Max: 581.22  Test_Score: 605.24  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -348.77  PG Loss: -15.0530

#Games: 44 #Frames: 44000  Train_Max: 820.93  Test_Score: 1032.00  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 295.78  PG Loss: -28.1510

#Games: 55 #Frames: 55000  Train_Max: 1610.06  Test_Score: 1663.61  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1635.67  PG Loss: -44.8887

#Games: 66 #Frames: 66000  Train_Max: 1669.99  Test_Score: 1641.80  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2291.78  PG Loss: -61.4439

#Games: 77 #Frames: 77000  Train_Max: 1640.97  Test_Score: 1667.97  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2614.14  PG Loss: -79.8242

#Games: 88 #Frames: 88000  Train_Max: 1820.43  Test_Score: 1664.16  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2992.86  PG Loss: -97.9182

#Games: 99 #Frames: 99000  Train_Max: 1706.58  Test_Score: 1773.62  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3095.73  PG Loss: -114.6171

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 1828.21  Test_Score: 1763.68  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3252.81  PG Loss: -127.5005

#Games: 121 #Frames: 121000  Train_Max: 3266.53  Test_Score: 3250.95  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 3696.94  PG Loss: -142.1542

