bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
#Games: 286 #Frames: 286000  Train_Max: 3877.35  Test_Score: 3125.91  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4007.24  PG Loss: -317.1125

#Games: 297 #Frames: 297000  Train_Max: 3839.23  Test_Score: 3827.61  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4322.35  PG Loss: -324.4545

#Games: 308 #Frames: 308000  Train_Max: 4069.89  Test_Score: 4072.05  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4243.31  PG Loss: -331.3942

#Games: 319 #Frames: 319000  Train_Max: 4093.48  Test_Score: 4066.66  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4239.63  PG Loss: -338.1964

Sync from RL --> Nevo
#Games: 330 #Frames: 330000  Train_Max: 4082.91  Test_Score: 4083.47  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4498.48  PG Loss: -344.8246

#Games: 341 #Frames: 341000  Train_Max: 4468.89  Test_Score: 4483.38  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4646.40  PG Loss: -352.5480

#Games: 352 #Frames: 352000  Train_Max: 4550.63  Test_Score: 4543.07  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4272.11  PG Loss: -360.5706

#Games: 363 #Frames: 363000  Train_Max: 4571.21  Test_Score: 4581.03  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4805.38  PG Loss: -368.9300

#Games: 374 #Frames: 374000  Train_Max: 4606.52  Test_Score: 4610.06  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4747.54  PG Loss: -376.5546

#Games: 385 #Frames: 385000  Train_Max: 4677.74  Test_Score: 4595.91  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4650.76  PG Loss: -383.9078

#Games: 396 #Frames: 396000  Train_Max: 4737.08  Test_Score: 3891.82  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4756.74  PG Loss: -391.2241

#Games: 407 #Frames: 407000  Train_Max: 4616.20  Test_Score: 4637.24  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 4878.61  PG Loss: -398.9201

Progress Saved
#Games: 418 #Frames: 418000  Train_Max: 4880.14  Test_Score: 4919.21  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5176.60  PG Loss: -406.2277

#Games: 429 #Frames: 429000  Train_Max: 4895.37  Test_Score: 4883.53  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5166.52  PG Loss: -413.6130

Sync from RL --> Nevo
#Games: 440 #Frames: 440000  Train_Max: 4909.97  Test_Score: 4855.04  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5149.54  PG Loss: -421.0474

#Games: 451 #Frames: 451000  Train_Max: 5171.66  Test_Score: 5153.67  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5325.50  PG Loss: -428.5742

#Games: 462 #Frames: 462000  Train_Max: 5153.33  Test_Score: 5137.01  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5478.48  PG Loss: -435.6153

#Games: 473 #Frames: 473000  Train_Max: 5154.95  Test_Score: 5147.25  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5535.46  PG Loss: -442.7914

#Games: 484 #Frames: 484000  Train_Max: 5189.12  Test_Score: 5153.45  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5519.13  PG Loss: -450.0139

#Games: 495 #Frames: 495000  Train_Max: 5346.53  Test_Score: 5187.68  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5740.45  PG Loss: -457.4124

#Games: 506 #Frames: 506000  Train_Max: 5279.24  Test_Score: 5245.07  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5757.33  PG Loss: -464.7849

#Games: 517 #Frames: 517000  Train_Max: 5265.87  Test_Score: 5280.61  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5670.79  PG Loss: -472.4529

#Games: 528 #Frames: 528000  Train_Max: 5403.47  Test_Score: 5346.13  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5795.42  PG Loss: -479.8327

#Games: 539 #Frames: 539000  Train_Max: 5356.61  Test_Score: 5236.37  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5800.13  PG Loss: -487.0045

Sync from RL --> Nevo
#Games: 550 #Frames: 550000  Train_Max: 5323.15  Test_Score: 5274.57  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5615.27  PG Loss: -493.3794

#Games: 561 #Frames: 561000  Train_Max: 5649.50  Test_Score: 5646.85  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5704.50  PG Loss: -500.1521

