924.371,0.000
1907.966,0.000
2882.183,0.000
3850.404,0.000
4834.590,0.000
5822.895,0.000
6812.270,0.000
7813.409,0.000
8771.452,0.000
9782.400,0.000
10787.101,0.000
11762.980,0.000
30173.392,0.000
30851.837,0.000
31519.388,0.000
32451.061,0.000
33414.032,0.000
34395.800,0.000
35374.177,0.000
36385.666,0.000
37386.151,0.000
38396.827,0.000
39095.528,0.000
39803.172,0.000
40345.624,0.000
40872.913,0.000
41429.545,0.000
41974.789,0.000
42526.154,0.000
43059.739,0.000
43591.621,0.000
44129.302,0.000
44788.368,0.000
45333.790,0.000
45878.812,0.000
75428.781,0.000
75940.300,0.000
76461.606,0.000
76980.845,0.000
77496.766,0.000
77990.121,0.000
78486.452,0.000
78984.473,0.000
79482.150,0.000
80007.730,0.000
