[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_1/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_1/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
#Games: 308 #Frames: 308000  Train_Max: 231.29  Test_Score: 229.41  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 73.60  PG Loss: -36.0738

#Games: 319 #Frames: 319000  Train_Max: 231.69  Test_Score: 231.40  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 41.14  PG Loss: -35.6525

Sync from RL --> Nevo
#Games: 330 #Frames: 330000  Train_Max: 228.59  Test_Score: 231.32  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 37.88  PG Loss: -35.4761

#Games: 341 #Frames: 341000  Train_Max: 228.00  Test_Score: 231.13  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 61.31  PG Loss: -35.2652

#Games: 352 #Frames: 352000  Train_Max: 231.18  Test_Score: 231.05  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 135.00  PG Loss: -34.4285

#Games: 363 #Frames: 363000  Train_Max: 230.03  Test_Score: 229.69  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 52.13  PG Loss: -33.8198

#Games: 374 #Frames: 374000  Train_Max: 229.80  Test_Score: 231.13  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 40.23  PG Loss: -33.1916

#Games: 385 #Frames: 385000  Train_Max: 229.31  Test_Score: 229.32  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 126.59  PG Loss: -32.5676

#Games: 396 #Frames: 396000  Train_Max: 233.59  Test_Score: 231.00  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 66.27  PG Loss: -32.2132

#Games: 407 #Frames: 407000  Train_Max: 229.85  Test_Score: 229.89  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 38.36  PG Loss: -31.9737

Progress Saved
#Games: 418 #Frames: 418000  Train_Max: 229.73  Test_Score: 231.52  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 63.30  PG Loss: -31.5531

#Games: 429 #Frames: 429000  Train_Max: 233.84  Test_Score: 230.95  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 108.93  PG Loss: -31.1084

Sync from RL --> Nevo
#Games: 440 #Frames: 440000  Train_Max: 230.81  Test_Score: 232.03  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 42.60  PG Loss: -30.7258

#Games: 451 #Frames: 451000  Train_Max: 230.93  Test_Score: 230.63  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 76.43  PG Loss: -30.2650

#Games: 462 #Frames: 462000  Train_Max: 229.98  Test_Score: 230.45  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 128.30  PG Loss: -29.9674

#Games: 473 #Frames: 473000  Train_Max: 231.15  Test_Score: 231.69  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 82.46  PG Loss: -29.6819

#Games: 484 #Frames: 484000  Train_Max: 230.02  Test_Score: 232.39  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 40.86  PG Loss: -29.4603

#Games: 495 #Frames: 495000  Train_Max: 240.93  Test_Score: 240.77  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 85.97  PG Loss: -29.1994

#Games: 506 #Frames: 506000  Train_Max: 252.83  Test_Score: 252.55  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 36.31  PG Loss: -29.0136

#Games: 517 #Frames: 517000  Train_Max: 252.28  Test_Score: 252.07  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 46.93  PG Loss: -28.9039

#Games: 528 #Frames: 528000  Train_Max: 249.37  Test_Score: 251.05  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 56.29  PG Loss: -28.8085

#Games: 539 #Frames: 539000  Train_Max: 247.89  Test_Score: 250.97  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 86.64  PG Loss: -28.5577

Sync from RL --> Nevo
#Games: 550 #Frames: 550000  Train_Max: 254.31  Test_Score: 251.49  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 58.79  PG Loss: -28.3079

#Games: 561 #Frames: 561000  Train_Max: 249.71  Test_Score: 249.86  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 5.66  PG Loss: -28.0502

#Games: 572 #Frames: 572000  Train_Max: 253.48  Test_Score: 252.20  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 59.84  PG Loss: -27.9709

#Games: 583 #Frames: 583000  Train_Max: 255.86  Test_Score: 243.39  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 57.73  PG Loss: -27.8854

#Games: 594 #Frames: 594000  Train_Max: 255.88  Test_Score: 252.06  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 70.18  PG Loss: -27.8414

#Games: 605 #Frames: 605000  Train_Max: 253.47  Test_Score: 252.25  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 55.83  PG Loss: -27.7260

Progress Saved
#Games: 616 #Frames: 616000  Train_Max: 253.33  Test_Score: 251.91  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 62.33  PG Loss: -27.7002

#Games: 627 #Frames: 627000  Train_Max: 249.54  Test_Score: 251.27  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 86.70  PG Loss: -27.8510

#Games: 638 #Frames: 638000  Train_Max: 249.43  Test_Score: 252.16  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 67.97  PG Loss: -27.9693

#Games: 649 #Frames: 649000  Train_Max: 251.15  Test_Score: 250.88  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 96.49  PG Loss: -27.9580

Sync from RL --> Nevo
#Games: 660 #Frames: 660000  Train_Max: 250.13  Test_Score: 252.74  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 60.77  PG Loss: -27.8436

#Games: 671 #Frames: 671000  Train_Max: 249.26  Test_Score: 251.39  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 47.48  PG Loss: -27.7492

#Games: 682 #Frames: 682000  Train_Max: 249.63  Test_Score: 250.34  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 62.81  PG Loss: -27.7357

#Games: 693 #Frames: 693000  Train_Max: 250.56  Test_Score: 250.78  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 29.00  PG Loss: -27.7601

#Games: 704 #Frames: 704000  Train_Max: 255.58  Test_Score: 251.25  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 44.51  PG Loss: -27.5982

#Games: 715 #Frames: 715000  Train_Max: 256.89  Test_Score: 256.52  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 34.20  PG Loss: -27.5191

#Games: 726 #Frames: 726000  Train_Max: 265.69  Test_Score: 211.37  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 33.28  PG Loss: -27.4534

#Games: 737 #Frames: 737000  Train_Max: 248.10  Test_Score: 251.31  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 42.96  PG Loss: -27.3942

#Games: 748 #Frames: 748000  Train_Max: 251.31  Test_Score: 248.81  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 52.51  PG Loss: -27.3939

#Games: 759 #Frames: 759000  Train_Max: 251.73  Test_Score: 250.86  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 74.01  PG Loss: -27.3451

Sync from RL --> Nevo
#Games: 770 #Frames: 770000  Train_Max: 249.12  Test_Score: 251.21  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 51.47  PG Loss: -27.4051

#Games: 781 #Frames: 781000  Train_Max: 250.15  Test_Score: 250.18  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 59.07  PG Loss: -27.4080

#Games: 792 #Frames: 792000  Train_Max: 250.70  Test_Score: 251.07  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 73.64  PG Loss: -27.4472

